transaction_id,estate,block,floor,saleable_area_sqft,age_at_sale,sale_date,price_hkd,adjusted_price_hkd
1,city_one_shatin,1,1,451,40,2021-11-18,6400000,5170422
2,city_one_shatin,1,2,451,41,2022-10-27,5650000,4970196
3,city_one_shatin,1,2,327,45,2026-03-02,4200000,3995492
4,city_one_shatin,1,2,327,39,2020-03-18,5280000,4420219
5,city_one_shatin,1,2,327,39,2020-06-22,5330000,4436255
6,city_one_shatin,1,3,451,40,2021-10-29,7180000,5880889
7,city_one_shatin,1,4,327,40,2021-04-14,5300000,4234097
8,city_one_shatin,1,4,451,37,2018-01-18,6000000,5685629
9,city_one_shatin,1,5,451,38,2019-09-17,6600000,5866941
10,city_one_shatin,1,5,327,44,2025-09-26,3980000,4077470
11,city_one_shatin,1,5,327,40,2021-08-03,5800000,4604599
12,city_one_shatin,1,6,451,40,2021-06-16,7050000,5534703
13,city_one_shatin,1,6,327,38,2019-07-08,5330000,4538228
14,city_one_shatin,1,6,327,41,2022-04-22,5230000,4119704
15,city_one_shatin,1,7,451,41,2022-09-26,6188000,5367824
16,city_one_shatin,1,8,327,39,2020-10-19,5760000,4755265
17,city_one_shatin,1,8,451,40,2021-04-23,7130000,5696059
18,city_one_shatin,1,8,327,38,2019-05-30,5000000,4253440
19,city_one_shatin,1,9,451,38,2019-03-11,6880000,6038742
20,city_one_shatin,1,9,327,39,2020-05-15,5680000,4624087
21,city_one_shatin,1,9,451,44,2025-07-08,4000000,4147128
22,city_one_shatin,1,9,327,38,2019-05-22,6300000,5359334
23,city_one_shatin,1,10,451,40,2021-08-10,7650000,6073307
24,city_one_shatin,1,10,327,39,2020-10-09,5500000,4540617
25,city_one_shatin,1,11,451,38,2019-03-01,6968000,6115981
26,city_one_shatin,1,11,451,41,2022-10-25,6170000,5427630
27,city_one_shatin,1,11,327,40,2021-09-27,6020000,4898145
28,city_one_shatin,1,11,327,42,2023-08-17,4880000,4460364
29,city_one_shatin,1,12,451,41,2022-11-11,6220000,5643750
30,city_one_shatin,1,13,327,42,2023-04-20,5260000,4523054
31,city_one_shatin,1,14,451,38,2019-02-13,6740000,5941096
32,city_one_shatin,1,14,327,43,2024-04-11,4150000,4047940
33,city_one_shatin,1,15,327,40,2021-12-20,6330000,5134591
34,city_one_shatin,1,15,327,39,2020-08-10,5680000,4693899
35,city_one_shatin,1,16,451,39,2020-05-28,7480000,6089467
36,city_one_shatin,1,16,327,41,2022-10-06,4850000,4266451
37,city_one_shatin,1,16,451,37,2018-05-29,7750000,6879365
38,city_one_shatin,1,16,327,38,2019-12-19,5900000,5209695
39,city_one_shatin,1,17,451,44,2025-06-25,5000000,5227542
40,city_one_shatin,1,17,327,45,2026-01-29,4508000,4507835
41,city_one_shatin,1,18,327,44,2025-12-08,4400000,4481045
42,city_one_shatin,1,19,451,39,2020-07-08,7250000,5984365
43,city_one_shatin,1,19,451,38,2019-08-14,7600000,6774216
