transaction_id,estate,phase,block,unit,floor,saleable_area_sqft,price_hkd,price_per_sqft_hkd_reference_only,sale_date,source_url,notes
1,city_one_shatin,1,1,E,1,451,6400000,14191,2021-11-18,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
2,city_one_shatin,1,1,B,2,451,5650000,12528,2022-10-27,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
3,city_one_shatin,1,1,C,2,327,4200000,12844,2026-03-02,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
4,city_one_shatin,1,1,D,2,327,5280000,16147,2020-03-18,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
5,city_one_shatin,1,1,H,2,327,5330000,16300,2020-06-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
6,city_one_shatin,1,1,A,3,451,7180000,15920,2021-10-29,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
7,city_one_shatin,1,1,C,4,327,5300000,16208,2021-04-14,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
8,city_one_shatin,1,1,E,4,451,6000000,13304,2018-01-18,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
9,city_one_shatin,1,1,B,5,451,6600000,14634,2019-09-17,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
10,city_one_shatin,1,1,G,5,327,3980000,12171,2025-09-26,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
11,city_one_shatin,1,1,H,5,327,5800000,17737,2021-08-03,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
12,city_one_shatin,1,1,F,6,451,7050000,15632,2021-06-16,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
13,city_one_shatin,1,1,G,6,327,5330000,16300,2019-07-08,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
14,city_one_shatin,1,1,H,6,327,5230000,15994,2022-04-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
15,city_one_shatin,1,1,B,7,451,6188000,13721,2022-09-26,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
16,city_one_shatin,1,1,D,8,327,5760000,17615,2020-10-19,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
17,city_one_shatin,1,1,E,8,451,7130000,15809,2021-04-23,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
18,city_one_shatin,1,1,G,8,327,5000000,15291,2019-05-30,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
19,city_one_shatin,1,1,B,9,451,6880000,15255,2019-03-11,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
20,city_one_shatin,1,1,C,9,327,5680000,17370,2020-05-15,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
21,city_one_shatin,1,1,F,9,451,4000000,8869,2025-07-08,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
22,city_one_shatin,1,1,H,9,327,6300000,19266,2019-05-22,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
23,city_one_shatin,1,1,A,10,451,7650000,16962,2021-08-10,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
24,city_one_shatin,1,1,G,10,327,5500000,16820,2020-10-09,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
25,city_one_shatin,1,1,B,11,451,6968000,15450,2019-03-01,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
26,city_one_shatin,1,1,F,11,451,6170000,13681,2022-10-25,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
27,city_one_shatin,1,1,G,11,327,6020000,18410,2021-09-27,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
28,city_one_shatin,1,1,H,11,327,4880000,14924,2023-08-17,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
29,city_one_shatin,1,1,F,12,451,6220000,13792,2022-11-11,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
30,city_one_shatin,1,1,D,13,327,5260000,16086,2023-04-20,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
