transaction_id,block,floor,saleable_area_sqft,age_at_sale,sale_date,price_hkd,adjusted_price_hkd
1,1,26,327,37,2018-12-13,4850000,4736389
2,1,25,327,43,2024-03-28,4300000,4209917
3,1,25,451,37,2018-07-03,7780000,6705606
4,1,25,327,39,2020-09-18,5730000,4679394
5,1,24,451,40,2021-03-26,7500000,5975488
6,1,24,327,38,2019-08-01,5998000,5346283
7,1,24,327,40,2021-12-21,6180000,5012918
8,1,23,327,41,2022-09-29,4920000,4267889
9,1,23,327,43,2024-05-08,4580000,4644973
10,1,22,327,44,2025-07-16,4398000,4559767
11,1,22,451,39,2020-12-24,7780000,6428299
12,1,21,327,37,2018-10-30,6500000,6217372
13,1,21,327,41,2022-01-10,6290000,5094659
14,1,21,451,39,2020-08-04,7550000,6239250
15,1,20,451,39,2020-08-12,7780000,6429319
16,1,20,327,42,2023-05-23,5600000,4842273
17,1,19,451,39,2020-07-08,7250000,5984365
18,1,19,451,38,2019-08-14,7600000,6774216
19,1,19,327,43,2024-10-21,4380000,4380040
20,1,19,451,45,2026-06-03,6500000,6221727
21,1,19,327,41,2022-11-14,4880000,4427894
22,1,18,327,44,2025-12-08,4400000,4481045
23,1,17,451,44,2025-06-25,5000000,5227542
24,1,17,327,45,2026-01-29,4508000,4507835
25,1,16,451,39,2020-05-28,7480000,6089467
26,1,16,327,41,2022-10-06,4850000,4266451
27,1,16,451,37,2018-05-29,7750000,6879365
28,1,16,327,38,2019-12-19,5900000,5209695
29,1,15,327,40,2021-12-20,6330000,5134591
30,1,15,327,39,2020-08-10,5680000,4693899
31,1,14,451,38,2019-02-13,6740000,5941096
32,1,14,327,43,2024-04-11,4150000,4047940
33,1,13,327,42,2023-04-20,5260000,4523054
34,1,12,451,41,2022-11-11,6220000,5643750
35,1,11,451,38,2019-03-01,6968000,6115981
36,1,11,451,41,2022-10-25,6170000,5427630
37,1,11,327,40,2021-09-27,6020000,4898145
38,1,11,327,42,2023-08-17,4880000,4460364
39,1,10,451,40,2021-08-10,7650000,6073307
40,1,10,327,39,2020-10-09,5500000,4540617
41,1,9,451,38,2019-03-11,6880000,6038742
42,1,9,327,39,2020-05-15,5680000,4624087
43,1,9,451,44,2025-07-08,4000000,4147128
44,1,9,327,38,2019-05-22,6300000,5359334
45,1,8,327,39,2020-10-19,5760000,4755265
46,1,8,451,40,2021-04-23,7130000,5696059
47,1,8,327,38,2019-05-30,5000000,4253440
48,1,7,451,41,2022-09-26,6188000,5367824
49,1,6,451,40,2021-06-16,7050000,5534703
50,1,6,327,38,2019-07-08,5330000,4538228
51,1,6,327,41,2022-04-22,5230000,4119704
52,1,5,451,38,2019-09-17,6600000,5866941
53,1,5,327,44,2025-09-26,3980000,4077470
54,1,5,327,40,2021-08-03,5800000,4604599
55,1,4,327,40,2021-04-14,5300000,4234097
56,1,4,451,37,2018-01-18,6000000,5685629
57,1,3,451,40,2021-10-29,7180000,5880889
58,1,2,451,41,2022-10-27,5650000,4970196
59,1,2,327,45,2026-03-02,4200000,3995492
60,1,2,327,39,2020-03-18,5280000,4420219
61,1,2,327,39,2020-06-22,5330000,4436255
62,1,1,451,40,2021-11-18,6400000,5170422
63,2,27,327,38,2019-10-10,6000000,5243860
64,2,26,327,44,2025-10-02,4280000,4428355
65,2,25,327,41,2022-03-22,5500000,4469759
66,2,25,327,41,2022-04-11,5800000,4568696
67,2,25,451,38,2019-03-26,6500000,5705206
68,2,24,451,40,2021-07-30,7900000,6163189
69,2,24,451,41,2022-06-02,7250000,5974665
70,2,24,327,39,2020-09-11,5930000,4842724
71,2,24,327,40,2021-05-03,5895000,4737375
72,2,23,327,44,2025-06-11,5000000,5227542
73,2,23,451,41,2022-09-09,6500000,5638471
74,2,22,451,42,2023-05-22,3550000,3069655
75,2,20,451,45,2026-03-23,5630000,5355862
76,2,20,327,40,2021-11-17,5850000,4726089
77,2,19,451,40,2021-08-03,7650000,6073307
78,2,19,327,37,2018-09-21,6000000,5543759
79,2,19,327,39,2020-04-22,5900000,4996583
80,2,18,327,40,2021-09-14,6400000,5207330
81,2,18,327,40,2021-10-22,6220000,5094586
82,2,16,451,40,2021-07-13,7860000,6131983
83,2,16,451,39,2020-04-17,7500000,6351589
84,2,16,327,39,2020-11-06,5790000,4715499
85,2,15,451,37,2018-02-02,6500000,6027852
86,2,15,451,40,2021-04-23,7400000,5911758
87,2,15,327,39,2020-11-25,5580000,4544471
88,2,14,451,45,2026-05-18,5850000,5308513
89,2,14,327,38,2019-04-26,5320000,4566923
90,2,13,327,38,2019-05-10,4800000,4083302
91,2,13,451,37,2018-02-22,7100000,6584269
92,2,13,327,40,2021-02-23,5600000,4526897
93,2,12,451,42,2023-03-29,6450000,5659184
94,2,11,327,45,2026-01-19,4350000,4349841
95,2,10,451,40,2021-02-25,6580000,5319103
96,2,10,327,39,2020-05-13,5000000,4070499
97,2,10,451,38,2019-02-27,6620000,5835320
98,2,10,327,43,2024-03-14,4250000,4160964
99,2,9,327,43,2024-01-03,3312000,3219317
100,2,9,327,45,2026-05-12,3180000,2885653
101,2,9,327,40,2021-06-15,3620000,2841933
102,2,8,327,44,2025-11-14,4000000,4001428
103,2,8,327,43,2024-04-19,3930000,3833351
104,2,7,327,40,2021-01-08,5400000,4422654
105,2,7,327,40,2021-03-04,5700000,4541371
106,2,6,451,42,2023-01-09,6280000,5564744
107,2,5,327,42,2023-11-14,3980000,3891567
108,2,5,327,43,2024-07-26,4150000,4184684
109,2,5,327,45,2026-07-02,5050000,5050000
110,2,4,327,43,2024-10-21,3000000,3000027
111,2,3,451,43,2024-12-05,5000000,5162902
112,2,3,327,38,2019-09-03,5300000,4711331
113,2,3,327,39,2020-06-22,5390000,4486195
114,2,2,451,40,2021-01-20,6300000,5159764
115,2,2,327,44,2025-03-14,3600000,3878266
116,2,2,451,40,2021-07-06,6880000,5367435
117,2,1,451,45,2026-01-30,3500000,3499872
118,2,1,451,42,2023-03-02,5480000,4808113
119,15,27,853,40,2022-04-25,13000000,10240182
120,15,23,819,40,2022-05-11,11468000,9266052
121,15,22,819,43,2025-11-25,9380000,9383348
122,15,22,853,38,2020-01-02,3000000,2534705
123,15,21,819,43,2025-12-11,8000000,8147354
124,15,21,853,41,2023-08-02,10800000,9871298
125,15,20,853,36,2018-10-23,12280000,11746050
126,15,19,819,42,2024-09-27,8280000,8703511
127,15,18,853,43,2025-11-25,9200000,9203284
128,15,18,853,38,2020-12-09,11630000,9609398
129,15,17,819,39,2021-05-11,10000000,8036259
130,15,17,853,39,2021-04-20,11800000,9426857
131,15,15,819,39,2021-04-13,11380000,9091325
132,15,15,853,38,2020-09-14,12400000,10126438
133,15,14,853,37,2019-01-28,10180000,9673283
134,15,12,853,43,2025-03-12,8380000,9027741
135,15,7,819,43,2025-11-24,8800000,8803141
136,15,6,853,41,2023-02-22,10380000,9072240
137,15,4,819,38,2020-09-04,11718000,9569484
138,15,3,853,44,2026-05-19,9000000,8166943
139,15,3,853,41,2023-10-25,9600000,9314457
140,15,1,819,40,2022-01-21,9990000,8091517
141,16,30,451,38,2020-11-20,7980000,6499082
142,16,30,451,40,2022-02-22,8180000,6539238
143,16,30,327,39,2021-06-28,5920000,4647581
144,16,30,327,38,2020-12-07,6010000,4965820
145,16,29,451,42,2024-12-03,5750000,5937338
146,16,29,327,36,2018-12-06,5268000,5144597
147,16,28,327,43,2025-04-17,4180000,4473646
148,16,28,451,43,2025-08-08,6000000,6388288
149,16,28,327,37,2019-11-15,6360000,5238341
150,16,27,451,38,2020-09-24,7600000,6206527
151,16,27,327,37,2019-07-17,6000000,5108700
152,16,27,451,42,2024-07-24,6080000,6130814
153,16,26,327,41,2023-03-15,5400000,4737922
154,16,26,327,38,2020-08-10,5860000,4842649
155,16,26,451,42,2024-03-25,5750000,5629540
156,16,26,327,38,2020-11-25,5700000,4642201
157,16,25,451,36,2018-05-15,7680000,6817229
158,16,25,327,41,2023-11-17,4800000,4693347
159,16,25,451,39,2021-01-27,7370000,6036104
160,16,25,327,43,2025-03-25,5300000,5709669
161,16,24,327,39,2021-07-16,5950000,4641895
162,16,24,327,41,2023-07-28,5200000,4500063
163,16,23,327,42,2024-06-28,4350000,4319337
164,16,22,451,41,2023-09-04,6780000,6436254
165,16,22,327,42,2024-09-20,4250000,4467382
166,16,21,451,37,2019-03-07,7200000,6319613
167,16,20,451,42,2024-06-25,5538000,5498962
168,16,20,327,37,2019-11-12,5280000,4348811
169,16,20,327,42,2024-01-24,4430000,4306031
170,16,20,451,40,2022-02-22,7200000,5755809
171,16,20,327,40,2022-11-28,5300000,4808983
172,16,19,327,42,2024-10-24,4250000,4250039
173,16,19,451,37,2019-05-22,3000000,2552064
174,16,19,327,43,2025-10-08,4480000,4635287
175,16,18,451,41,2023-01-12,6400000,5671077
176,16,17,451,43,2025-11-25,5500000,5501963
177,16,17,327,37,2019-11-21,6000000,4941831
178,16,17,327,38,2020-02-05,5850000,5002648
179,16,16,451,43,2025-03-24,4830000,5203340
180,16,15,327,43,2025-11-19,4468000,4469595
181,16,14,327,39,2021-01-14,5500000,4504555
182,16,14,327,44,2026-02-13,4420000,4283474
183,16,14,451,43,2025-11-07,5800000,5802070
184,16,14,451,42,2024-12-03,6100000,6298741
185,16,13,327,41,2023-02-23,5200000,4544860
186,16,13,451,40,2022-02-09,7150000,5715838
187,16,13,327,36,2018-04-23,5620000,5141933
188,16,12,451,38,2020-06-12,7300000,6075922
189,16,11,327,38,2020-06-03,5700000,4744213
190,16,11,327,39,2021-07-05,6110000,4766719
191,16,11,327,42,2024-07-22,4100000,4134266
192,16,10,327,39,2021-12-29,6000000,4866911
193,16,10,327,36,2018-01-09,5280000,5003353
194,16,10,327,40,2022-02-24,5960000,4764530
195,16,9,451,44,2026-04-08,6130000,5774228
