transaction_id,phase,block,unit,floor,saleable_area_sqft,price_hkd,price_per_sqft_hkd_reference_only,sale_date,source_url,notes
1,1,1,C,26,327,4850000,14832,2018-12-13,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
2,1,1,C,25,327,4300000,13150,2024-03-28,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
3,1,1,E,25,451,7780000,17251,2018-07-03,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
4,1,1,G,25,327,5730000,17523,2020-09-18,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
5,1,1,A,24,451,7500000,16630,2021-03-26,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
6,1,1,C,24,327,5998000,18343,2019-08-01,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
7,1,1,H,24,327,6180000,18899,2021-12-21,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
8,1,1,D,23,327,4920000,15046,2022-09-29,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
9,1,1,G,23,327,4580000,14006,2024-05-08,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
10,1,1,C,22,327,4398000,13450,2025-07-16,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
11,1,1,F,22,451,7780000,17251,2020-12-24,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
12,1,1,C,21,327,6500000,19878,2018-10-30,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
13,1,1,D,21,327,6290000,19235,2022-01-10,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
14,1,1,F,21,451,7550000,16741,2020-08-04,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
15,1,1,E,20,451,7780000,17251,2020-08-12,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
16,1,1,G,20,327,5600000,17125,2023-05-23,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
17,1,1,A,19,451,7250000,16075,2020-07-08,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
18,1,1,B,19,451,7600000,16851,2019-08-14,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
19,1,1,D,19,327,4380000,13394,2024-10-21,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
20,1,1,F,19,451,6500000,14412,2026-06-03,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
21,1,1,H,19,327,4880000,14924,2022-11-14,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
22,1,1,G,18,327,4400000,13456,2025-12-08,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
23,1,1,A,17,451,5000000,11086,2025-06-25,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
24,1,1,C,17,327,4508000,13786,2026-01-29,https://www.28hse.com/en/estate/detail/city-one-shatin-4080/history/stateno-1/blockno-1,
