PRIVATE  DOMESTIC  -  AVERAGE  PRICES  BY  CLASS [MONTHLY],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Month,Class A Hong Kong,Class A Hong Kong - Remarks,Class A Kowloon,Class A Kowloon - Remarks,Class A New Territories,Class A New Territories - Remarks,Class B Hong Kong,Class B Hong Kong - Remarks,Class B Kowloon,Class B Kowloon - Remarks,Class B New Territories,Class B New Territories - Remarks,Class C Hong Kong,Class C Hong Kong - Remarks,Class C Kowloon,Class C Kowloon - Remarks,Class C New Territories,Class C New Territories - Remarks,Class D Hong Kong,Class D Hong Kong - Remarks,Class D Kowloon,Class D Kowloon - Remarks,Class D New Territories,Class D New Territories - Remarks,Class E Hong Kong,Class E Hong Kong - Remarks,Class E Kowloon,Class E Kowloon - Remarks,Class E New Territories,Class E New Territories - Remarks
01-1999,42663,,36842,,36679,,50141,,37945,,35797,,60466,,45796,,43298,,61445,,56292,,50457,,72978,,62551,Z,50968,
02-1999,43068,,35834,,36802,,47950,,38428,,35117,,60486,,47357,,41314,,63976,,54817,,46759,,66326,,59774,Z,45945,
03-1999,42683,,36731,,36992,,51060,,38254,,35948,,62962,,45549,,41377,,63983,,51646,,50737,,74608,,61790,Z,46120,
04-1999,43223,,36543,,36485,,50189,,39445,,36068,,61196,,45198,,40029,,67599,,48628,,43915,,73489,,75745,Z,46953,Z
05-1999,43316,,36449,,38035,,50650,,37945,,36757,,65221,,45858,,42599,,68728,,50312,,48495,,78077,,86018,Z,50454,
06-1999,43288,,36250,,36719,,49864,,37743,,36384,,62609,,44597,,42890,,64715,,52227,,46993,,84812,,77935,Z,45665,
07-1999,42139,,35394,,36064,,50941,,37189,,35798,,61009,,44754,,39707,,71697,,54215,,48568,,79126,,66958,Z,48253,Z
08-1999,41998,,34548,,34919,,50332,,36339,,35035,,58748,,40275,,41525,,65013,,46020,,48060,,80514,,76367,Z,44656,Z
09-1999,40428,,32982,,33985,,47243,,34233,,33732,,58385,,39502,,38729,,66689,,48738,,45025,,77586,,64729,Z,46018,Z
10-1999,39151,,34207,,34079,,47020,,34568,,33359,,57482,,42809,,42504,,64406,,49622,,47862,,81675,,58853,Z,44525,
11-1999,38034,,33152,,32165,,44567,,34859,,32581,,57161,,41374,,39227,,63750,,46111,,45452,,80433,,106211,Z,52201,Z
12-1999,39408,,34339,,33419,,48034,,36934,,32523,,58886,,42386,,40687,,65295,,47200,,44315,,81539,,87765,Z,47884,
01-2000,39443,,33390,,34199,,48927,,35433,,34248,,59387,,43041,,39812,,68049,,47369,,46486,,82998,,83864,Z,55588,
02-2000,40426,,34402,,33652,,47088,,34902,,34038,,61421,,40086,,38039,,66025,,49315,,46877,,76964,Z,72174,Z,32794,Z
03-2000,37748,,32558,,33314,,45595,,31843,,32806,,57034,,41580,,38792,,64493,,51031,,44971,,79652,,57860,Z,47701,
